,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.007393758458852681,0.0073244136463551076
"cillabel, u_browserLifeCycle",0.05556645395554223,0.05556645395554223
"cillabel, u_phonePrice",0.18453132392480875,0.2213734291879666
"cillabel, e_ch",0.018919851334834197,0.036097282995596364
"cillabel, e_pl",0.0012163665411287882,0.0021328953133497395
"cillabel, e_po",0.008437598836254981,0.005115588229209078
"cillabel, e_rn",0.006869337471773116,0.018331145995705
"cillabel, e_section",0.016763158718985594,0.05565847393009027
"cillabel, i_cat",0.0012607489408365897,0.0023838250719165526
"cillabel, i_dislikeTimes",0.07432555846973275,0.03001799937331734
"cillabel, i_dtype",0.09330957298969854,0.024961276160228377
"cillabel, i_regionEntity",0.0030487210719461035,0.004894449924343714
"cillabel, i_upTimes",0.03187518236503339,0.02666599057135529
"cillabel, label_1",0.032578019264341486,0.06617848738690199
"cillabel, pro",0.023267964913379693,0.05236990639112751
"cillabel, u_browserMode",0.07264021707414776,0.11163690959644065
"cillabel, u_feedLifeCycle_1",0.16691050691846915,0.06489325904865548
"cillabel, u_refreshTimes_1",0.019542195765669377,0.011768851741618565
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.07596653173322318,0.0842750745025754
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.00646657074997229,0.01017534178463659
"cillabel, city_rank",0.09725475715159418,0.08257864379127029
"cillabel, creat_type_cd",0.0,0.0
"cillabel, device_name",0.007701831727971546,0.009957052649170605
"cillabel, emui_dev",0.03406795189024963,0.04281099530294652
"cillabel, gender",0.23202821788081254,0.0468179359653413
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, residence",0.019797696389625665,0.04981780488865732
"cillabel, series_dev",0.09208601106236007,0.047559329212850505
"cillabel, series_group",0.3014296869118642,0.14102786015686
"cillabel, site_id",0.0,0.0
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, device_size",0.004503395984568574,0.006499982380458958
"cillabel, label_2",0.036291671955596044,0.021400635736711658
"cillabel, net_type",0.09190084947074989,0.038846973815139255
"cillabel, slot_id",0.021160837954246593,0.011269050938906353
"cillabel, u_feedLifeCycle_2",0.027769626873586063,0.050381120992655855
"cillabel, u_refreshTimes_2",0.03257109557493822,0.030165305303634843
"e_m, cillabel",0.4059589886797678,0.4204064205679733
"e_m, e_m",0.008119179773595364,0.008758467095166127
"e_m, u_browserLifeCycle",0.0712409174657758,0.07251795351127213
"e_m, u_phonePrice",0.08311658339006911,0.0860060697677102
"e_m, e_ch",0.03809099779339456,0.05347642016683893
"e_m, e_pl",0.0026072591691858084,0.0028626739539628025
"e_m, e_po",0.03463013636221266,0.03721549628206755
"e_m, e_rn",0.017824250557417688,0.01682291571573504
"e_m, e_section",0.2980918941430833,0.3324906214231039
"e_m, i_cat",0.005633189826380449,0.006525628813556025
"e_m, i_dislikeTimes",0.09118275497797532,0.09414972423384706
"e_m, i_dtype",0.14979647500285864,0.13741912334003176
"e_m, i_regionEntity",0.0036965980815689744,0.0038688954870172484
"e_m, i_upTimes",0.0865404527043826,0.09054410857224182
"e_m, label_1",0.26730801710780705,0.26705631652030754
"e_m, pro",0.06543675367086668,0.0767831720889107
"e_m, u_browserMode",0.1136097703747919,0.11351715728699077
"e_m, u_feedLifeCycle_1",0.15303056529126524,0.12444251936572409
"e_m, u_refreshTimes_1",0.09134829409734496,0.08498888088451781
"e_m, adv_id",0.4059589886797678,0.4204064205679733
"e_m, adv_prim_id",0.4059589886797678,0.4204064205679733
"e_m, age",0.1150642996440894,0.11793186100528676
"e_m, app_score",0.4059589886797678,0.4204064205679733
"e_m, app_second_class",0.4059589886797678,0.4204064205679733
"e_m, city",0.01016608030257879,0.010607176601082072
"e_m, city_rank",0.18959369482685007,0.18877439158079368
"e_m, creat_type_cd",0.4059589886797678,0.4204064205679733
"e_m, device_name",0.009354793885612972,0.014839861708046194
"e_m, emui_dev",0.0776989406755213,0.06920087686078524
"e_m, gender",0.22548148490058736,0.23770948968562605
"e_m, hispace_app_tags",0.4059589886797678,0.4204064205679733
"e_m, inter_type_cd",0.4059589886797678,0.4204064205679733
"e_m, residence",0.035174188485904534,0.03467275951334157
"e_m, series_dev",0.08330187450648108,0.11975610662994547
"e_m, series_group",0.19261896244667798,0.2321000191042541
"e_m, site_id",0.4059589886797678,0.4204064205679733
