,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.004863863276646329,0.01006795365526395
"cillabel, u_browserLifeCycle",0.05556645395554223,0.05556645395554223
"cillabel, u_phonePrice",0.2213734291879666,0.1098551045806368
"cillabel, e_ch",0.04818656392990245,0.05577078557364765
"cillabel, e_pl",0.0012564491190104165,0.002003614658713948
"cillabel, e_po",0.00895614920915385,0.005277095200640993
"cillabel, e_rn",0.007907027737444275,0.013893426143689588
"cillabel, e_section",0.19814320215078207,0.19037454320113334
"cillabel, i_cat",0.001502471771619341,0.0021945832959335636
"cillabel, i_dislikeTimes",0.07566912989962582,0.07086519353192076
"cillabel, i_dtype",0.0469909317237781,0.05415967224003526
"cillabel, i_regionEntity",0.003155997108858701,0.003852751142372062
"cillabel, i_upTimes",0.04273383749722742,0.04219399936043476
"cillabel, label_1",0.2818040813847411,0.017087722842659032
"cillabel, pro",0.01945378447787966,0.031081730242834046
"cillabel, u_browserMode",0.06830183796909516,0.0409608878610627
"cillabel, u_feedLifeCycle_1",0.16987790264602778,0.09353662719297742
"cillabel, u_refreshTimes_1",0.027147776811329103,0.020877524465666077
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.14033069331340348,0.1063987784616434
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.009406749630667737,0.010616818363351472
"cillabel, city_rank",0.08900290660123353,0.08575021044451234
"cillabel, creat_type_cd",0.0,0.0
"cillabel, device_name",0.006530927008901126,0.006886347312478801
"cillabel, emui_dev",0.05478152517554037,0.02274563541904409
"cillabel, gender",0.054227874004238855,0.14651338367487887
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, residence",0.018038644868333547,0.014178997593219575
"cillabel, series_dev",0.13026520386188242,0.134121083244436
"cillabel, series_group",0.23712692190627987,0.18944816242000626
"cillabel, site_id",0.0,0.0
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, device_size",0.0027107346425547826,0.006240198202500165
"cillabel, label_2",0.0029077569328343038,0.01606434898681236
"cillabel, net_type",0.026757908658932787,0.04289511051591817
"cillabel, slot_id",0.015431128597097419,0.012941996187270214
"cillabel, u_feedLifeCycle_2",0.09968795554847427,0.041403405863108256
"cillabel, u_refreshTimes_2",0.020503026522545823,0.02104319759901434
"e_m, cillabel",0.3469460759990307,0.346669128422899
"e_m, e_m",0.007080532163245532,0.006933382568457986
"e_m, u_browserLifeCycle",0.06143620397188981,0.06139004604253452
"e_m, u_phonePrice",0.07131400085392167,0.07125861133869534
"e_m, e_ch",0.05457807980915795,0.05231315864523704
"e_m, e_pl",0.0023491509118559284,0.002577504813548571
"e_m, e_po",0.029116792749248693,0.033732252815094746
"e_m, e_rn",0.014257676715557617,0.01424951439874532
"e_m, e_section",0.3198379961584014,0.2864058304058765
"e_m, i_cat",0.005309205876227188,0.005810666554536031
"e_m, i_dislikeTimes",0.09059238457108268,0.09340353734588608
"e_m, i_dtype",0.12065368020317882,0.11642694765855663
"e_m, i_regionEntity",0.003125173881694086,0.003906586864622072
"e_m, i_upTimes",0.07921739230778106,0.0866496431827211
"e_m, label_1",0.3129764626031603,0.2429695703850725
"e_m, pro",0.04093301660201808,0.056624989153635924
"e_m, u_browserMode",0.12068585088121431,0.10445264663522433
"e_m, u_feedLifeCycle_1",0.18765051593724896,0.1492182824964186
"e_m, u_refreshTimes_1",0.09438766786012887,0.07960569588848243
"e_m, adv_id",0.3469460759990307,0.346669128422899
"e_m, adv_prim_id",0.3469460759990307,0.346669128422899
"e_m, age",0.11084167335681894,0.11080210941737154
"e_m, app_score",0.3469460759990307,0.346669128422899
"e_m, app_second_class",0.3469460759990307,0.346669128422899
"e_m, city",0.009996041818527885,0.009974283637973359
"e_m, city_rank",0.17456351908053405,0.17449428218650112
"e_m, creat_type_cd",0.3469460759990307,0.346669128422899
"e_m, device_name",0.00774389016464278,0.008062072754020919
"e_m, emui_dev",0.05620708755005249,0.06225166072383327
"e_m, gender",0.20587205791281535,0.20577974205410476
"e_m, hispace_app_tags",0.3469460759990307,0.346669128422899
"e_m, inter_type_cd",0.3469460759990307,0.346669128422899
"e_m, residence",0.030636257138986243,0.029477607634521504
"e_m, series_dev",0.10387957396231204,0.10351838816510692
"e_m, series_group",0.17262296280055545,0.17253064694184486
"e_m, site_id",0.3469460759990307,0.346669128422899
"e_m, spread_app_id",0.3469460759990307,0.346669128422899
"e_m, task_id",0.3469460759990307,0.346669128422899
"e_m, device_size",0.0068580745145211015,0.006108123375949015
"e_m, label_2",0.19830830352718493,0.2189798108513995
"e_m, net_type",0.13598886110472003,0.1625993425792062
"e_m, slot_id",0.019537017739186195,0.013094855870087796
"e_m, u_feedLifeCycle_2",0.14627779170095706,0.12073087234639987
"e_m, u_refreshTimes_2",0.08746603562530757,0.08673140865757903
"u_browserLifeCycle, cillabel",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, e_m",0.020379756314852764,0.02003610710065432
"u_browserLifeCycle, u_browserLifeCycle",0.16511652953915149,0.16511652953915149
"u_browserLifeCycle, u_phonePrice",0.19946456801947865,0.19842735584724602
"u_browserLifeCycle, e_ch",0.06230809554864147,0.0526112791250342
"u_browserLifeCycle, e_pl",0.0021786754374712993,0.0026073449857829997
"u_browserLifeCycle, e_po",0.035487570199361815,0.03816887571845999
"u_browserLifeCycle, e_rn",0.0177740192271557,0.016929315569095053
"u_browserLifeCycle, e_section",0.4981403280783978,0.49806807315838464
"u_browserLifeCycle, i_cat",0.004783001526386475,0.004952257621358957
"u_browserLifeCycle, i_dislikeTimes",0.09942393876876338,0.0993230130083799
"u_browserLifeCycle, i_dtype",0.19870245554522414,0.19847843165022636
"u_browserLifeCycle, i_regionEntity",0.0025610549918189756,0.0031063709229479583
"u_browserLifeCycle, i_upTimes",0.09938197054118998,0.09946302136634841
"u_browserLifeCycle, label_1",0.49735138820468666,0.4958098689640426
"u_browserLifeCycle, pro",0.07091653326990893,0.0902812409116622
"u_browserLifeCycle, u_browserMode",0.16596334193051032,0.16586237683087832
"u_browserLifeCycle, u_feedLifeCycle_1",0.1660944126279845,0.1656737073015742
"u_browserLifeCycle, u_refreshTimes_1",0.09995077888383065,0.09971018982810945
"u_browserLifeCycle, adv_id",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, adv_prim_id",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, age",0.1418317057164075,0.14195363677660813
"u_browserLifeCycle, app_score",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, app_second_class",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, city",0.012004026689531589,0.012011206448205384
"u_browserLifeCycle, city_rank",0.24879928972122273,0.24878611895732136
"u_browserLifeCycle, creat_type_cd",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, device_name",0.02217749030386939,0.023228153197515606
"u_browserLifeCycle, emui_dev",0.09925736397727211,0.11046344339992327
"u_browserLifeCycle, gender",0.3305686321276827,0.33109938621835794
"u_browserLifeCycle, hispace_app_tags",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, inter_type_cd",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, residence",0.03686106679509104,0.03555955998512484
"u_browserLifeCycle, series_dev",0.19910503580616154,0.19913341508442342
"u_browserLifeCycle, series_group",0.33316841465503827,0.33272496296339704
"u_browserLifeCycle, site_id",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, spread_app_id",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, task_id",0.9906991772349092,0.9906991772349092
"u_browserLifeCycle, device_size",0.007173148662073034,0.005704497232855761
"u_browserLifeCycle, label_2",0.49592763088071234,0.49575117468607316
"u_browserLifeCycle, net_type",0.24828792196821098,0.24839169220104385
"u_browserLifeCycle, slot_id",0.02625224874559985,0.019585852847689603
"u_browserLifeCycle, u_feedLifeCycle_2",0.16593614408468085,0.1652823214909043
"u_browserLifeCycle, u_refreshTimes_2",0.09969808464963836,0.09995701391788445
"u_phonePrice, cillabel",0.9955688387818924,0.5480330952353478
"u_phonePrice, e_m",0.02047544969343199,0.023493369754202787
"u_phonePrice, u_browserLifeCycle",0.16635894713763139,0.09264665720429115
"u_phonePrice, u_phonePrice",0.1991137677563784,0.10960661904706953
"u_phonePrice, e_ch",0.06241025382115774,0.052724210422857395
"u_phonePrice, e_pl",0.002173123138478405,0.002742372624415037
"u_phonePrice, e_po",0.0355931799352982,0.03824452593499602
"u_phonePrice, e_rn",0.01784941818307778,0.014674976715834122
"u_phonePrice, e_section",0.4980713830276209,0.32579309395498524
"u_phonePrice, i_cat",0.004805655690755656,0.0055319955603296035
"u_phonePrice, i_dislikeTimes",0.0996662410482991,0.08522917522294182
