,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.00675732037157236,0.006861496830253267
"cillabel, u_phonePrice",0.14317577485933053,0.12217189674450149
"cillabel, e_ch",0.012920239252777042,0.010983014180435503
"cillabel, i_cat",0.0016907525622437958,0.002582183295929946
"cillabel, i_dislikeTimes",0.06844832025055561,0.022867478364492835
"cillabel, i_regionEntity",0.0037968048875864006,0.004000460147649959
"cillabel, i_upTimes",0.03284786253446999,0.020142212217434348
"cillabel, e_pl",0.0007225762683810392,0.0015734240893416661
"cillabel, u_browserLifeCycle",0.08242058196020924,0.16590857778325957
"cillabel, u_browserMode",0.0674078642126427,0.022893212273202367
"cillabel, u_feedLifeCycle_1",0.10902554679828177,0.1531980038221444
"cillabel, u_refreshTimes_1",0.025742076309521578,0.061153677775271933
"cillabel, label_1",0.17466128961362212,0.007217548490115577
"cillabel, pro",0.02112929384557992,0.04217453818191984
"cillabel, e_po",0.01607498684588294,0.013143752919619648
"cillabel, e_rn",0.02199469960613152,0.00931233902340151
"cillabel, e_section",0.13213813210683195,0.19879204936315886
"cillabel, i_dtype",0.11207903862233062,0.0945551041534019
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.03852688454068268,0.040562152473784294
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.0075451140778949035,0.008384545216347038
"cillabel, city_rank",0.13285716562840083,0.19036731119028777
"cillabel, creat_type_cd",0.002856136781564245,0.002856136781564245
"cillabel, device_name",0.007765771246925235,0.009399743088895919
"cillabel, emui_dev",0.020170167250023085,0.043377016662073636
"cillabel, gender",0.13419930357212723,0.13419930357212723
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, net_type",0.0,0.0
"cillabel, residence",0.014335587940884615,0.018791364699988187
"cillabel, series_dev",0.01487053852952362,0.017433198356496954
"cillabel, series_group",0.0932729770790728,0.0530863696451548
"cillabel, site_id",0.0,0.0
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, u_feedLifeCycle_2",0.0274658632966861,0.0274658632966861
"cillabel, u_refreshTimes_2",0.045272313538416806,0.04626750337496605
"cillabel, device_size",0.004783653153351151,0.005779456092530783
"cillabel, slot_id",0.01570053024195314,0.005275327732513203
"cillabel, label_2",0.04723846399446643,0.20305325756026404
"e_m, cillabel",0.779177589107555,0.779177589107555
"e_m, e_m",0.007492092202957234,0.007492092202957234
"e_m, u_phonePrice",0.13554912164012672,0.13554912164012672
"e_m, e_ch",0.05164081145584726,0.056755356576163325
"e_m, i_cat",0.004803853855012797,0.0053982652409820895
"e_m, i_dislikeTimes",0.09123797599950814,0.09479523567320429
"e_m, i_regionEntity",0.003431549948293592,0.0038071268429263807
"e_m, i_upTimes",0.08908676284003958,0.09334095342429002
"e_m, e_pl",0.002509831956270218,0.0029068877051974906
"e_m, u_browserLifeCycle",0.13350503157560223,0.14553543315679107
"e_m, u_browserMode",0.12708930358011197,0.12338489603752612
"e_m, u_feedLifeCycle_1",0.12034466472531342,0.11977695397576849
"e_m, u_refreshTimes_1",0.09982399266682687,0.09255681066589161
"e_m, label_1",0.42848898626706833,0.4106167056986729
"e_m, pro",0.13876520990649083,0.12168382983695458
"e_m, e_po",0.03596354738809451,0.04264319383795719
"e_m, e_rn",0.027805101460749413,0.027548004216749893
"e_m, e_section",0.4305520001341434,0.4346729043352542
"e_m, i_dtype",0.1785075427721854,0.17922651419032343
"e_m, adv_id",0.779177589107555,0.779177589107555
"e_m, adv_prim_id",0.779177589107555,0.779177589107555
"e_m, age",0.11010309480026603,0.11010309480026603
"e_m, app_score",0.779177589107555,0.779177589107555
"e_m, app_second_class",0.779177589107555,0.779177589107555
"e_m, city",0.008141122397919384,0.008070330029241783
"e_m, city_rank",0.226114088970617,0.226114088970617
"e_m, creat_type_cd",0.3895887945537775,0.3895887945537775
"e_m, device_name",0.007870480698056076,0.00837825364631779
"e_m, emui_dev",0.04260318231707447,0.044970025779134136
"e_m, gender",0.27574109576535344,0.27574109576535344
"e_m, hispace_app_tags",0.779177589107555,0.779177589107555
"e_m, inter_type_cd",0.779177589107555,0.779177589107555
"e_m, net_type",0.779177589107555,0.779177589107555
"e_m, residence",0.03024244558342136,0.02926688282266584
"e_m, series_dev",0.03599337006356058,0.03770734006658734
"e_m, series_group",0.11312202019976192,0.11312202019976192
"e_m, site_id",0.779177589107555,0.779177589107555
"e_m, spread_app_id",0.779177589107555,0.779177589107555
"e_m, task_id",0.779177589107555,0.779177589107555
"e_m, u_feedLifeCycle_2",0.10416585155913768,0.10416585155913768
"e_m, u_refreshTimes_2",0.08947533158574278,0.08947533158574278
"e_m, device_size",0.007717764127443693,0.005626661322222841
"e_m, slot_id",0.02492320494236673,0.01755185426414394
"e_m, label_2",0.4001330255487303,0.42420068226829055
"u_phonePrice, cillabel",0.0,0.19699518760514886
"u_phonePrice, e_m",0.009585879657214908,0.010916648145122852
"u_phonePrice, u_phonePrice",0.0,0.032832531267524806
"u_phonePrice, e_ch",0.011969724426365473,0.028289493751668605
