,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.008080568146503677,0.009175457552013455
"cillabel, u_phonePrice",0.15712989899543592,0.13192199668968882
"cillabel, e_ch",0.015119126393397046,0.04056254659520897
"cillabel, e_pl",0.0015827359146179587,0.0015236381407537872
"cillabel, e_po",0.004827142974605202,0.007038761483065265
"cillabel, e_rn",0.01131300913525727,0.012830987634658161
"cillabel, e_section",0.03461067106236859,0.16607306128764543
"cillabel, i_cat",0.0025181609168583126,0.002018658588449208
"cillabel, i_dislikeTimes",0.03462586285879851,0.05366811551391877
"cillabel, i_dtype",0.05529876547076949,0.07547903391427888
"cillabel, i_regionEntity",0.005077649518623188,0.005252401956122217
"cillabel, i_upTimes",0.05027670212724304,0.04393776990055
"cillabel, label_1",0.09613353119212537,0.34420531431545487
"cillabel, pro",0.02433015318869328,0.03220325062697922
"cillabel, u_browserLifeCycle",0.10752346310312019,0.1536861206059839
"cillabel, u_browserMode",0.047050716324524955,0.05329467061331853
"cillabel, u_feedLifeCycle_1",0.14745730383648797,0.15871569035260644
"cillabel, u_refreshTimes_1",0.024251588678196247,0.03507251269499656
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.02451184607734504,0.00772108987072907
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.008289965405560097,0.008889481962022794
"cillabel, city_rank",0.12684797631959155,0.1492038373352464
"cillabel, creat_type_cd",0.0,0.0
"cillabel, device_name",0.00900912139678931,0.011270431737157473
"cillabel, device_size",0.007462147759797334,0.00805396302927636
"cillabel, emui_dev",0.015923419026774143,0.015955723415528457
"cillabel, gender",0.17030003797949106,0.11350991452270098
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, label_2",0.0,0.0
"cillabel, residence",0.01756599752284969,0.02351674011377772
"cillabel, series_dev",0.03520059305432112,0.011276894603898024
"cillabel, series_group",0.02649212135314382,0.03834883660178001
"cillabel, site_id",0.0,0.0
"cillabel, slot_id",0.002962400303835903,0.002962400303835903
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, u_feedLifeCycle_2",0.03834843470240356,0.025650022003990865
"cillabel, u_refreshTimes_2",0.04851273096033297,0.04296099365601834
"cillabel, net_type",0.08930896903301083,0.19392890801929924
"e_m, cillabel",0.7676414736042537,0.7676414736042537
"e_m, e_m",0.007107791422261639,0.007241900694379751
"e_m, u_phonePrice",0.12821876186859094,0.12821876186859094
"e_m, e_ch",0.058894431081290166,0.036285707051525534
"e_m, e_pl",0.0029779076033092803,0.002935207580499119
"e_m, e_po",0.03461392254078489,0.03709377183234634
"e_m, e_rn",0.014892668288794358,0.015015416406323374
"e_m, e_section",0.4148591443160376,0.4382466134953792
"e_m, i_cat",0.005381198072703841,0.005411479127970729
"e_m, i_dislikeTimes",0.0948339211111714,0.09725091783770097
"e_m, i_dtype",0.179388349338976,0.17707684517027472
"e_m, i_regionEntity",0.00393928263798239,0.0038938614938977475
"e_m, i_upTimes",0.09449917108253605,0.09384491707811114
"e_m, label_1",0.4095716757395451,0.4279579693632105
"e_m, pro",0.04045295886541612,0.030705315903605587
"e_m, u_browserLifeCycle",0.2305446138450316,0.22125712115457652
"e_m, u_browserMode",0.12731455716860743,0.12818548460022067
