,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.007959171482759134,0.012280296562474775
"cillabel, u_phonePrice",0.15916264703393412,0.13646864686468646
"cillabel, e_ch",0.018342218837268345,0.0573690380621074
"cillabel, e_pl",0.0007748146769405507,0.0023547743287842295
"cillabel, e_po",0.00695946517728696,0.010589249079348087
"cillabel, e_rn",0.011050023271557926,0.022873863962972883
"cillabel, e_section",0.16018659558263515,0.0017839621800017774
"cillabel, i_cat",0.001502943816648872,0.002731965143563447
"cillabel, i_dislikeTimes",0.06795252602183295,0.05631611809829633
"cillabel, i_dtype",0.0911195734958111,0.047927035946837906
"cillabel, i_regionEntity",0.004215241129286545,0.005517147197063399
"cillabel, i_upTimes",0.044930185326224927,0.050575327803050574
"cillabel, label_1",0.06943386646356949,0.36342208545178845
"cillabel, pro",0.02637090632140136,0.03398646170923399
"cillabel, u_browserLifeCycle",0.16731721249047982,0.1368728257960931
"cillabel, u_browserMode",0.08452652957603451,0.033900378454833895
"cillabel, u_feedLifeCycle_1",0.1563087077938563,0.0833054589242708
"cillabel, u_refreshTimes_1",0.031392485402386386,0.03125189545981625
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.0659082254379284,0.05226953438587103
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.007790311255657788,0.012401603336009252
"cillabel, city_rank",0.0991876110687992,0.15869904558023373
"cillabel, creat_type_cd",0.0,0.0
"cillabel, device_name",0.009409314836060043,0.012579815990827829
"cillabel, emui_dev",0.026691252121163543,0.033265026360388535
"cillabel, gender",0.1218921892189219,0.1218921892189219
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, label_2",0.0011551155115511371,0.0011551155115511371
"cillabel, net_type",0.0,0.0
"cillabel, residence",0.018501107405170223,0.0317094663800024
"cillabel, series_dev",0.014068926123381568,0.06474618182538977
"cillabel, series_group",0.052424473216552414,0.09361787530104362
"cillabel, site_id",0.0,0.0
"cillabel, slot_id",0.0006600660066006419,0.0006600660066006419
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, u_feedLifeCycle_2",0.0376944837340877,0.03742306663098741
"cillabel, u_refreshTimes_2",0.050609291698400616,0.060734100437070726
"cillabel, device_size",0.004447889843929452,0.006070284577293698
"e_m, cillabel",0.7018151815181518,0.738036303630363
"e_m, e_m",0.008256649194331169,0.008786146471790005
"e_m, u_phonePrice",0.11696919691969196,0.12303726994321051
"e_m, e_ch",0.044887573413426016,0.04329528078290458
"e_m, e_pl",0.0025969343757793304,0.0030423228767133582
"e_m, e_po",0.03331098189183998,0.03750277416737813
"e_m, e_rn",0.01926917443728501,0.020850009250174276
"e_m, e_section",0.4095585153753471,0.42676705170517054
"e_m, i_cat",0.0052131579072694275,0.005735914549121758
"e_m, i_dislikeTimes",0.09229768453035779,0.09526652766628013
"e_m, i_dtype",0.17732919482424436,0.18657529807034756
"e_m, i_regionEntity",0.0031195358614383955,0.0036675805946150227
"e_m, i_upTimes",0.09199408036041698,0.10103905390539053
"e_m, label_1",0.38298378647388553,0.44093427586001843
"e_m, pro",0.07952988632196552,0.08987299593322699
"e_m, u_browserLifeCycle",0.12162924328147101,0.11600718602265632
"e_m, u_browserMode",0.1348283229683513,0.12837800671959088
"e_m, u_feedLifeCycle_1",0.11781844255854157,0.10762842204828592
"e_m, u_refreshTimes_1",0.09668363979255068,0.09198228674218772
"e_m, adv_id",0.7018151815181518,0.738036303630363
"e_m, adv_prim_id",0.7018151815181518,0.738036303630363
"e_m, age",0.10589933993399339,0.11045039470163232
"e_m, app_score",0.7018151815181518,0.738036303630363
"e_m, app_second_class",0.7018151815181518,0.738036303630363
"e_m, city",0.007949038147057956,0.00812652512838156
"e_m, city_rank",0.2176980198019802,0.2246549148158059
"e_m, creat_type_cd",0.7018151815181518,0.738036303630363
"e_m, device_name",0.008883736474913284,0.009002727069015413
"e_m, emui_dev",0.038996004863644296,0.04091223845001858
"e_m, gender",0.24746974697469748,0.2595434543454346
"e_m, hispace_app_tags",0.7018151815181518,0.738036303630363
"e_m, inter_type_cd",0.7018151815181518,0.738036303630363
"e_m, label_2",0.3509075907590759,0.3690181518151815
"e_m, net_type",0.7018151815181518,0.738036303630363
"e_m, residence",0.03063616706498235,0.03159573879102728
"e_m, series_dev",0.036559405940594085,0.042644253164055165
"e_m, series_group",0.10445544554455449,0.10962989156058467
"e_m, site_id",0.7018151815181518,0.738036303630363
"e_m, slot_id",0.3509075907590759,0.3690181518151815
"e_m, spread_app_id",0.7018151815181518,0.738036303630363
"e_m, task_id",0.7018151815181518,0.738036303630363
"e_m, u_feedLifeCycle_2",0.10596416784535599,0.1111653732940862
"e_m, u_refreshTimes_2",0.0874257425742574,0.09020850057978769
"e_m, device_size",0.010350037979988463,0.009429504497144933
"u_phonePrice, cillabel",0.6514026402640265,0.6514026402640265
"u_phonePrice, e_m",0.009884966654104857,0.010244522880789274
"u_phonePrice, u_phonePrice",0.10856710671067105,0.10856710671067105
"u_phonePrice, e_ch",0.04397244197458963,0.04969442161240991
"u_phonePrice, e_pl",0.0022456955795330143,0.002612526762447633
"u_phonePrice, e_po",0.025926106581246354,0.028618260319500127
"u_phonePrice, e_rn",0.01781911784928494,0.021373943113747636
"u_phonePrice, e_section",0.3760005945447486,0.38002418051539666
"u_phonePrice, i_cat",0.004302506876074606,0.004779396766056715
"u_phonePrice, i_dislikeTimes",0.09125258444962142,0.08407684463136578
"u_phonePrice, i_dtype",0.1629564162298583,0.15027011108190466
"u_phonePrice, i_regionEntity",0.00348052566188428,0.004351298634589716
"u_phonePrice, i_upTimes",0.08239699815569793,0.08138970423591033
"u_phonePrice, label_1",0.3480992161716172,0.4552976868483309
"u_phonePrice, pro",0.07494584789361289,0.08585601882049892
"u_phonePrice, u_browserLifeCycle",0.14188699706367697,0.13198602308608443
"u_phonePrice, u_browserMode",0.12338127825387579,0.11364306784660766
"u_phonePrice, u_feedLifeCycle_1",0.13565078382838283,0.11707129783774838
"u_phonePrice, u_refreshTimes_1",0.07216525917297612,0.0790763821957417
"u_phonePrice, adv_id",0.6514026402640265,0.6514026402640265
"u_phonePrice, adv_prim_id",0.6514026402640265,0.6514026402640265
"u_phonePrice, age",0.11396308059114735,0.11736417880357358
"u_phonePrice, app_score",0.6514026402640265,0.6514026402640265
"u_phonePrice, app_second_class",0.6514026402640265,0.6514026402640265
"u_phonePrice, city",0.008800508429221305,0.010145893368835398
"u_phonePrice, city_rank",0.23400158949718503,0.26348130664836394
"u_phonePrice, creat_type_cd",0.6514026402640265,0.6514026402640265
"u_phonePrice, device_name",0.010627898232861262,0.010519606577896443
"u_phonePrice, emui_dev",0.044585970787481236,0.04794236856537696
"u_phonePrice, gender",0.2591584158415842,0.2591584158415842
"u_phonePrice, hispace_app_tags",0.6514026402640265,0.6514026402640265
"u_phonePrice, inter_type_cd",0.6514026402640265,0.6514026402640265
"u_phonePrice, label_2",0.32570132013201325,0.32570132013201325
"u_phonePrice, net_type",0.6514026402640265,0.6514026402640265
"u_phonePrice, residence",0.03355730223123731,0.03401536153513631
"u_phonePrice, series_dev",0.04507920185400894,0.05143716293130461
"u_phonePrice, series_group",0.10659884003106194,0.11565126698089112
"u_phonePrice, site_id",0.6514026402640265,0.6514026402640265
"u_phonePrice, slot_id",0.3261138613861386,0.3261138613861386
"u_phonePrice, spread_app_id",0.6514026402640265,0.6514026402640265
"u_phonePrice, task_id",0.6514026402640265,0.6514026402640265
"u_phonePrice, u_feedLifeCycle_2",0.10154408297972657,0.10973061328467448
"u_phonePrice, u_refreshTimes_2",0.09181694088526499,0.08890752423324927
"u_phonePrice, device_size",0.01026680990052787,0.009436698145704641
"e_ch, cillabel",0.8902640264026402,0.0
"e_ch, e_m",0.01186618690099499,0.01949774927648926
"e_ch, u_phonePrice",0.15972344702135288,0.13688241046326854
"e_ch, e_ch",0.04945911257792448,0.0
"e_ch, e_pl",0.002542862694707192,0.005446827417678317
"e_ch, e_po",0.03418346790771657,0.039717344552450365
"e_ch, e_rn",0.020286100261659945,0.01871879699200827
"e_ch, e_section",0.4473803780139757,0.08625123125520101
"e_ch, i_cat",0.004865305729096792,0.008007266921087651
"e_ch, i_dislikeTimes",0.09713512496246221,0.09867395723175193
"e_ch, i_dtype",0.18656028243396156,0.08383836757440344
"e_ch, i_regionEntity",0.0029380048418484114,0.004155395410393812
"e_ch, i_upTimes",0.09701790146339342,0.08007920186672757
"e_ch, label_1",0.47490307180820185,0.24223726230439752
"e_ch, pro",0.09525749602530027,0.021993364855103864
"e_ch, u_browserLifeCycle",0.12464637688241255,0.13040088840139627
"e_ch, u_browserMode",0.13404438370998434,0.08480372369800195
"e_ch, u_feedLifeCycle_1",0.11639002410281873,0.06909998965417655
"e_ch, u_refreshTimes_1",0.09650137435118596,0.08005027244638212
"e_ch, adv_id",0.8902640264026402,0.0
"e_ch, adv_prim_id",0.8902640264026402,0.0
"e_ch, age",0.12248449225879021,0.12520868298644783
"e_ch, app_score",0.8902640264026402,0.0
"e_ch, app_second_class",0.8902640264026402,0.0
"e_ch, city",0.009012071001775724,0.014817100312425006
"e_ch, city_rank",0.2434603015866597,0.1982305755283525
"e_ch, creat_type_cd",0.8902640264026402,0.0
"e_ch, device_name",0.012767342345474431,0.01997330413689147
"e_ch, emui_dev",0.050651809052497096,0.061244340587650326
"e_ch, gender",0.3074257425742574,0.12134213421342133
"e_ch, hispace_app_tags",0.8902640264026402,0.0
"e_ch, inter_type_cd",0.8902640264026402,0.0
"e_ch, label_2",0.4451320132013201,0.0011551155115511551
"e_ch, net_type",0.8902640264026402,0.0
"e_ch, residence",0.033828342282363255,0.04922271801644952
"e_ch, series_dev",0.04827238635878564,0.08424839118383239
"e_ch, series_group",0.13950871283277308,0.15459165070017464
"e_ch, site_id",0.8902640264026402,0.0
"e_ch, slot_id",0.4451320132013201,0.0006600660066006601
"e_ch, spread_app_id",0.8902640264026402,0.0
"e_ch, task_id",0.8902640264026402,0.0
"e_ch, u_feedLifeCycle_2",0.1293257897218294,0.054805683205979415
"e_ch, u_refreshTimes_2",0.09731445203063532,0.12324988311948895
"e_ch, device_size",0.011711070600965896,0.007482453432910564
"e_pl, cillabel",0.47582508250825084,0.8287953795379539
"e_pl, e_m",0.006021808063159241,0.009985135418303705
"e_pl, u_phonePrice",0.08304455445544554,0.1397918958562523
"e_pl, e_ch",0.03324471336022493,0.04172429147676676
"e_pl, e_pl",0.0011865962157312777,0.002589985561056142
"e_pl, e_po",0.041755592225889246,0.03823176960553198
"e_pl, e_rn",0.019956110194352783,0.02168377948906003
"e_pl, e_section",0.34147414741474147,0.4477585258525852
"e_pl, i_cat",0.006361820392565583,0.005614069059967213
"e_pl, i_dislikeTimes",0.09286853685368536,0.09741199119911989
"e_pl, i_dtype",0.18186468646864684,0.19196369636963695
"e_pl, i_regionEntity",0.0022226927707520183,0.003330141408301444
"e_pl, i_upTimes",0.1072139713971397,0.10199944994499449
"e_pl, label_1",0.289026402640264,0.4311193619361936
"e_pl, pro",0.05740099009900989,0.09555372203887058
"e_pl, u_browserLifeCycle",0.061032040704070395,0.10416322882288229
"e_pl, u_browserMode",0.1265833726229766,0.13870422756561374
"e_pl, u_feedLifeCycle_1",0.06418798129812982,0.10552461496149615
"e_pl, u_refreshTimes_1",0.05374312431243123,0.08527227722772276
"e_pl, adv_id",0.47582508250825084,0.8287953795379539
"e_pl, adv_prim_id",0.47582508250825084,0.8287953795379539
"e_pl, age",0.06510932343234323,0.10484392189218922
"e_pl, app_score",0.47582508250825084,0.8287953795379539
"e_pl, app_second_class",0.47582508250825084,0.8287953795379539
"e_pl, city",0.004481957204729491,0.0074092900361464485
"e_pl, city_rank",0.12433305830583057,0.2074601210121012
"e_pl, creat_type_cd",0.47582508250825084,0.8287953795379539
"e_pl, device_name",0.006479160574285259,0.010228675306555055
"e_pl, emui_dev",0.026844131781599237,0.044144809217763925
"e_pl, gender",0.16069856985698572,0.27643014301430147
"e_pl, hispace_app_tags",0.47582508250825084,0.8287953795379539
"e_pl, inter_type_cd",0.47582508250825084,0.8287953795379539
"e_pl, label_2",0.23791254125412542,0.41439768976897695
"e_pl, net_type",0.47582508250825084,0.8287953795379539
