,Old,New
"cillabel, cillabel",0.0,0.0
"cillabel, e_m",0.009806716595772187,0.008792177060612246
"cillabel, u_phonePrice",0.16790646169880144,0.1152211172083033
"cillabel, e_ch",0.005451515546291469,0.036211113681947675
"cillabel, e_pl",0.0018032136860302557,0.001736672383974856
"cillabel, e_po",0.01083497013668978,0.017130649914917195
"cillabel, e_rn",0.011262426732269319,0.019307254142315385
"cillabel, e_section",0.17089847142608994,0.00912323030222785
"cillabel, i_cat",0.0017740416700949854,0.0020949517355565842
"cillabel, i_dislikeTimes",0.060204099357304156,0.02870276923680481
"cillabel, i_dtype",0.11065398645127669,0.12214026157444868
"cillabel, i_regionEntity",0.004704013129100139,0.004573314584109957
"cillabel, i_upTimes",0.026715303109258293,0.03247885189707678
"cillabel, label_1",0.08711134271321866,0.0031072386584869993
"cillabel, pro",0.08053963291065949,0.04059605869147892
"cillabel, u_browserLifeCycle",0.14846599791558102,0.10297057287452371
"cillabel, u_browserMode",0.05860815404848756,0.0788371853530078
"cillabel, u_feedLifeCycle_1",0.15057321521625847,0.11882466199814633
"cillabel, u_refreshTimes_1",0.03326558971686642,0.028880781094454168
"cillabel, adv_id",0.0,0.0
"cillabel, adv_prim_id",0.0,0.0
"cillabel, age",0.05270323084940073,0.047075033469171586
"cillabel, app_score",0.0,0.0
"cillabel, app_second_class",0.0,0.0
"cillabel, city",0.011775585453282148,0.007952739086450559
"cillabel, city_rank",0.027959440680910212,0.1670362374276061
"cillabel, creat_type_cd",0.0,0.0
"cillabel, device_name",0.011713258267865415,0.010472096732873767
"cillabel, emui_dev",0.029165261727411133,0.019450499050061416
"cillabel, gender",0.1218921892189219,0.1218921892189219
"cillabel, hispace_app_tags",0.0,0.0
"cillabel, inter_type_cd",0.0,0.0
"cillabel, label_2",0.0011551155115511371,0.0011551155115511371
"cillabel, net_type",0.0,0.0
"cillabel, residence",0.02707703665103352,0.020835409831844995
"cillabel, series_dev",0.02201004726511432,0.025232799406736117
"cillabel, series_group",0.07805466636889252,0.07741887009758076
"cillabel, site_id",0.0,0.0
"cillabel, slot_id",0.0006600660066006419,0.0006600660066006419
"cillabel, spread_app_id",0.0,0.0
"cillabel, task_id",0.0,0.0
"cillabel, u_feedLifeCycle_2",0.0376944837340877,0.03726994541950481
"cillabel, u_refreshTimes_2",0.05584505819002952,0.04121496770776632
"cillabel, device_size",0.004744121028644223,0.007406930454500811
"e_m, cillabel",0.7018151815181518,0.7018151815181518
"e_m, e_m",0.00816064164555992,0.008066841166875298
"e_m, u_phonePrice",0.11696919691969196,0.11696919691969196
"e_m, e_ch",0.049526477945413594,0.039756064892203485
"e_m, e_pl",0.0030575184786052235,0.002783161433026422
"e_m, e_po",0.04068351890134068,0.03263548378647388
"e_m, e_rn",0.021604247910948362,0.020188410558381074
"e_m, e_section",0.4308565142228509,0.3956706742102782
"e_m, i_cat",0.005455633282626512,0.00501472088346401
"e_m, i_dislikeTimes",0.09419566242338519,0.09021110325318245
"e_m, i_dtype",0.1826830111582587,0.17402125569699828
"e_m, i_regionEntity",0.00357344328049465,0.0032868391518954955
"e_m, i_upTimes",0.09916184713709467,0.09414419299072764
"e_m, label_1",0.38437568756875684,0.38425467546754677
"e_m, pro",0.07205135592924373,0.06780313470907526
"e_m, u_browserLifeCycle",0.10773521399759023,0.10232781313845671
"e_m, u_browserMode",0.13611664907987397,0.13316365820255496
"e_m, u_feedLifeCycle_1",0.11003087511132066,0.11896783651579444
"e_m, u_refreshTimes_1",0.0968089737545183,0.09108765519409084
"e_m, adv_id",0.7018151815181518,0.7018151815181518
"e_m, adv_prim_id",0.7018151815181518,0.7018151815181518
"e_m, age",0.10589933993399339,0.10589933993399339
"e_m, app_score",0.7018151815181518,0.7018151815181518
"e_m, app_second_class",0.7018151815181518,0.7018151815181518
"e_m, city",0.008021302130213005,0.007808347206402064
"e_m, city_rank",0.2176980198019802,0.2176980198019802
"e_m, creat_type_cd",0.7018151815181518,0.7018151815181518
"e_m, device_name",0.008883736474913284,0.008883736474913284
"e_m, emui_dev",0.04358377014172006,0.038996004863644296
"e_m, gender",0.24746974697469748,0.24746974697469748
"e_m, hispace_app_tags",0.7018151815181518,0.7018151815181518
"e_m, inter_type_cd",0.7018151815181518,0.7018151815181518
"e_m, label_2",0.3509075907590759,0.3509075907590759
"e_m, net_type",0.7018151815181518,0.7018151815181518
"e_m, residence",0.02961496149614961,0.027764026402640266
"e_m, series_dev",0.03848358520062536,0.04062156215621564
"e_m, series_group",0.10445544554455449,0.10445544554455449
"e_m, site_id",0.7018151815181518,0.7018151815181518
"e_m, slot_id",0.3509075907590759,0.3509075907590759
"e_m, spread_app_id",0.7018151815181518,0.7018151815181518
"e_m, task_id",0.7018151815181518,0.7018151815181518
"e_m, u_feedLifeCycle_2",0.10596416784535599,0.10596416784535599
"e_m, u_refreshTimes_2",0.0874257425742574,0.0874257425742574
"e_m, device_size",0.008812438726865875,0.007237859765706316
"u_phonePrice, cillabel",0.6370462046204621,0.18836633663366337
"u_phonePrice, e_m",0.011984940188371004,0.014012702682815013
"u_phonePrice, u_phonePrice",0.10617436743674366,0.03139438943894389
"u_phonePrice, e_ch",0.043459011079679394,0.04119108938416202
"u_phonePrice, e_pl",0.0025952610141966566,0.0032940729924672936
"u_phonePrice, e_po",0.031187363241818686,0.02911429450626957
"u_phonePrice, e_rn",0.01952485115621198,0.017991773315780227
"u_phonePrice, e_section",0.36227251296558227,0.16511798346504789
"u_phonePrice, i_cat",0.004407722727159934,0.006172070938686904
"u_phonePrice, i_dislikeTimes",0.08112439101052962,0.09307594145977269
"u_phonePrice, i_dtype",0.1535756718528996,0.12053268389027155
"u_phonePrice, i_regionEntity",0.004099703877197776,0.004204187150919752
"u_phonePrice, i_upTimes",0.07935321389281785,0.07699059710435227
"u_phonePrice, label_1",0.3382850070721358,0.15351064161486905
"u_phonePrice, pro",0.08023298758447275,0.05469838437204533
"u_phonePrice, u_browserLifeCycle",0.13721308738016658,0.08883209372700504
"u_phonePrice, u_browserMode",0.1085570597876114,0.08379989047226916
"u_phonePrice, u_feedLifeCycle_1",0.1393617397454031,0.11429756943774996
"u_phonePrice, u_refreshTimes_1",0.08083459060191733,0.07528906661844241
"u_phonePrice, adv_id",0.6370462046204621,0.18836633663366337
"u_phonePrice, adv_prim_id",0.6370462046204621,0.18836633663366337
"u_phonePrice, age",0.10560024752475247,0.12205211294616669
"u_phonePrice, app_score",0.6370462046204621,0.18836633663366337
"u_phonePrice, app_second_class",0.6370462046204621,0.18836633663366337
"u_phonePrice, city",0.009709363793522201,0.012509399729822656
"u_phonePrice, city_rank",0.19410557127141287,0.25486276790329637
"u_phonePrice, creat_type_cd",0.6370462046204621,0.18836633663366337
"u_phonePrice, device_name",0.012552543681131227,0.015395949004691524
"u_phonePrice, emui_dev",0.05582110732081612,0.05924631302699074
"u_phonePrice, gender",0.25437293729372945,0.13985148514851486
"u_phonePrice, hispace_app_tags",0.6370462046204621,0.18836633663366337
"u_phonePrice, inter_type_cd",0.6370462046204621,0.18836633663366337
"u_phonePrice, label_2",0.31852310231023107,0.09533828382838284
"u_phonePrice, net_type",0.6370462046204621,0.18836633663366337
"u_phonePrice, residence",0.030775970454188277,0.04276210659469561
"u_phonePrice, series_dev",0.043581933381308065,0.054786196491135065
"u_phonePrice, series_group",0.1354611481556319,0.11207058100654291
"u_phonePrice, site_id",0.6370462046204621,0.18836633663366337
"u_phonePrice, slot_id",0.31893564356435644,0.0945957095709571
"u_phonePrice, spread_app_id",0.6370462046204621,0.18836633663366337
"u_phonePrice, task_id",0.6370462046204621,0.18836633663366337
"u_phonePrice, u_feedLifeCycle_2",0.10015322960867518,0.04415725135336254
"u_phonePrice, u_refreshTimes_2",0.09025498978469275,0.10200375760467612
"u_phonePrice, device_size",0.008412773250114131,0.005685553770508176
"e_ch, cillabel",0.968151815181518,0.0
"e_ch, e_m",0.01164622829946339,0.01459362984385435
"e_ch, u_phonePrice",0.16421840596758086,0.08970102294782321
"e_ch, e_ch",0.06050948844884488,0.0
"e_ch, e_pl",0.002987485539937213,0.004387979757813391
"e_ch, e_po",0.03889499297915139,0.02722245523653777
"e_ch, e_rn",0.023362937068900705,0.015898155707467075
"e_ch, e_section",0.4868888079284119,0.07371351769323274
"e_ch, i_cat",0.004791001428691514,0.006169937169155506
"e_ch, i_dislikeTimes",0.09854056834254853,0.09213638334308398
"e_ch, i_dtype",0.19745919830078246,0.19454157841971617
"e_ch, i_regionEntity",0.003512530805905327,0.004240464835051763
"e_ch, i_upTimes",0.09813939727306062,0.0634860656797387
"e_ch, label_1",0.4852760276027602,0.10792079207920795
"e_ch, pro",0.08145515940482939,0.008333115823678745
"e_ch, u_browserLifeCycle",0.12210947285204711,0.15415800293123022
"e_ch, u_browserMode",0.14287107282156786,0.06153396524321423
"e_ch, u_feedLifeCycle_1",0.12208499123721896,0.05546366254083688
"e_ch, u_refreshTimes_1",0.0991179713209416,0.0668358667702457
"e_ch, adv_id",0.968151815181518,0.0
"e_ch, adv_prim_id",0.968151815181518,0.0
"e_ch, age",0.12238417294110362,0.052691749438101704
"e_ch, app_score",0.968151815181518,0.0
"e_ch, app_second_class",0.968151815181518,0.0
"e_ch, city",0.009071775142882248,0.011077320030502378
"e_ch, city_rank",0.24448691892998822,0.07882324817847638
"e_ch, creat_type_cd",0.968151815181518,0.0
"e_ch, device_name",0.012657917389086707,0.016071465777409224
"e_ch, emui_dev",0.05889333331092213,0.03897992569340038
"e_ch, gender",0.32337733773377336,0.12134213421342133
"e_ch, hispace_app_tags",0.968151815181518,0.0
"e_ch, inter_type_cd",0.968151815181518,0.0
"e_ch, label_2",0.484075907590759,0.0011551155115511551
"e_ch, net_type",0.968151815181518,0.0
"e_ch, residence",0.03337974273617838,0.03792589785294319
"e_ch, series_dev",0.05266309839003952,0.04844327186962028
"e_ch, series_group",0.14250756708323892,0.09891962898838941
"e_ch, site_id",0.968151815181518,0.0
"e_ch, slot_id",0.484075907590759,0.0006600660066006601
"e_ch, spread_app_id",0.968151815181518,0.0
"e_ch, task_id",0.968151815181518,0.0
"e_ch, u_feedLifeCycle_2",0.13840169731258847,0.03762376237623763
"e_ch, u_refreshTimes_2",0.09923820953523922,0.05669151652007306
"e_ch, device_size",0.0095264363171011,0.005403451767602305
"e_pl, cillabel",0.7832508250825082,0.620049504950495
"e_pl, e_m",0.009257531698096991,0.007583511224685677
"e_pl, u_phonePrice",0.13230836476504793,0.10654290429042904
"e_pl, e_ch",0.052542285478547855,0.03396064606460644
"e_pl, e_pl",0.002331103646078885,0.0017081253579903618
"e_pl, e_po",0.04202288017263264,0.03944469446944694
"e_pl, e_rn",0.022668477715392307,0.020604049766678803
"e_pl, e_section",0.432860384252711,0.38164191419141913
"e_pl, i_cat",0.005393593509148491,0.0057014381993755
"e_pl, i_dislikeTimes",0.09750745747651687,0.09479022902290228
"e_pl, i_dtype",0.19058009647118557,0.18606090609060905
"e_pl, i_regionEntity",0.0031850519773707433,0.0025389670628504944
"e_pl, i_upTimes",0.10300663239400862,0.10475172517251724
"e_pl, label_1",0.4143976897689769,0.3519994499449945
"e_pl, pro",0.06883872281458916,0.05408452383699905
"e_pl, u_browserLifeCycle",0.09892481435643564,0.07848391089108911
"e_pl, u_browserMode",0.1366998836853858,0.12825661137542327
"e_pl, u_feedLifeCycle_1",0.10047320408551844,0.08279246674667468
"e_pl, u_refreshTimes_1",0.08121543266964057,0.0689303430343034
"e_pl, adv_id",0.7832508250825082,0.620049504950495
"e_pl, adv_prim_id",0.7832508250825082,0.620049504950495
"e_pl, age",0.09966580191673013,0.08377956545654565
"e_pl, app_score",0.7832508250825082,0.620049504950495
"e_pl, app_second_class",0.7832508250825082,0.620049504950495
"e_pl, city",0.007153564257524616,0.005723267016967192
"e_pl, city_rank",0.19642834475755266,0.15657778277827783
"e_pl, creat_type_cd",0.7832508250825082,0.620049504950495
"e_pl, device_name",0.010077819316915666,0.008351461728451304
